Player,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Gls,Ast,crdY,crdR,xG,xAG,PrgC,PrgP,PrgR,Gls per 90,Ast per 90,xG per 90,xAG per 90,GA90,Save%,CS%,PK Save%,SoT%,SoT per 90,G per Sh,Dist,Cmp,Cmp%,TotDist,ShortCmp%,MedCmp%,LongCmp%,KP,Pass into 1_3,PPA,CrsPA,SCA,SCA90,GCA,GCA90,Tkl,TklW,Deff Att,Lost,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Take-Ons Att,Succ%,Tkld%,Carries,ProDist,Carries 1_3,CPA,Mis,Dis,Rec,Rec PrgR,Fls,Fld,Off,Crs,Recov,Aerl Won,Aerl Lost,Aerl Won%
Trent Alexander-Arnold,ENG,Liverpool,DF,26.56,30,27,2240,3,6,5,0,1.8,6.7,49,211,87,0.12,0.24,0.07,0.27,,,,,19.0,0.32,0.07,23.5,1357,73.6,26053,89.8,76.1,49.3,50,192,62,20,93.0,3.73,10.0,0.4,70,49,101,53,25,8,17,30,2111,85,565,942,618,42,31,45.2,48.4,1109,2732,35,8,19,15,1342,87,11,7,1,142,126,3,13,18.8
Trevoh Chalobah,ENG,Crystal Palace,DF,25.82,12,12,1060,3,0,1,0,1.2,0.4,11,34,6,0.25,0.0,0.1,0.03,,,,,36.4,0.34,0.27,15.1,349,79.0,6831,88.7,85.2,51.2,4,27,2,1,11.0,0.93,0.0,0.0,20,16,23,11,19,9,10,19,594,66,275,276,51,14,10,60.0,20.0,278,661,9,1,4,7,317,6,10,15,1,7,56,22,19,53.7
Tyler Adams,USA,Bournemouth,MF,26.21,24,17,1620,0,3,7,0,1.6,0.9,12,61,9,0.0,0.17,0.09,0.05,,,,,25.0,0.11,0.0,16.1,702,82.9,10949,88.2,87.1,55.8,15,53,2,1,36.0,2.0,4.0,0.22,75,46,63,28,33,10,23,31,1091,52,291,623,189,17,16,18.8,56.3,513,1080,17,1,27,12,583,9,41,19,0,3,96,29,17,63.0
Tyler Dibling,ENG,Southampton,"FW,MF",19.13,30,18,1697,2,0,6,0,2.5,1.5,67,60,90,0.11,0.0,0.13,0.08,,,,,32.1,0.48,0.07,19.3,462,80.8,6935,90.2,85.1,44.4,20,25,20,1,55.0,2.92,4.0,0.21,34,20,26,10,19,5,14,8,807,24,106,369,351,40,103,42.7,36.9,520,2096,47,26,41,53,604,90,28,48,2,27,74,10,21,32.3
Tyrick Mitchell,ENG,Crystal Palace,DF,25.66,34,34,2852,0,4,2,0,1.2,5.6,56,62,160,0.0,0.13,0.04,0.18,,,,,18.2,0.06,0.0,13.4,904,72.2,14514,84.3,74.5,42.3,37,45,31,14,66.0,2.08,5.0,0.16,85,52,41,20,62,12,50,14,1614,104,560,615,452,42,31,41.9,48.4,742,1555,33,9,35,28,827,160,20,22,2,97,152,18,21,46.2
Tyrone Mings,ENG,Aston Villa,DF,32.13,13,11,1051,0,0,1,0,0.8,0.2,6,39,0,0.0,0.0,0.07,0.02,,,,,11.1,0.09,0.0,11.8,581,88.6,10405,92.7,94.3,54.0,3,47,5,0,17.0,1.45,2.0,0.17,6,5,2,0,13,11,2,7,767,139,388,340,43,15,2,100.0,0.0,472,1333,12,0,3,1,523,0,3,9,0,1,33,26,21,55.3
Valentino Livramento,ENG,Newcastle Utd,DF,22.46,33,28,2480,0,1,1,0,0.2,2.3,72,136,91,0.0,0.04,0.01,0.08,,,,,20.0,0.04,0.0,20.6,1228,85.0,18159,90.7,86.3,56.4,21,94,23,5,39.0,1.42,2.0,0.07,50,33,54,25,33,10,23,21,1728,105,553,796,404,32,48,43.8,41.7,900,2878,37,11,25,34,994,91,6,32,2,44,170,22,30,42.3
Victor Bernth Kristiansen,DEN,Leicester City,DF,22.37,28,28,2380,0,1,1,0,0.3,1.4,39,69,75,0.0,0.04,0.01,0.05,,,,,0.0,0.0,0.0,17.7,1007,77.6,16181,89.6,80.1,41.4,18,74,23,18,41.0,1.55,3.0,0.11,85,50,87,40,37,14,23,40,1581,113,564,711,319,15,17,47.1,47.1,800,1806,25,5,13,12,872,75,17,17,3,96,97,19,42,31.1
Virgil van Dijk,NED,Liverpool,DF,33.81,34,34,3060,2,1,3,0,2.0,0.7,18,176,6,0.06,0.03,0.06,0.02,,,,,29.2,0.21,0.08,13.6,2446,91.6,44780,96.0,95.4,67.9,12,265,6,0,46.0,1.35,4.0,0.12,35,17,20,9,24,13,11,52,3010,400,1203,1664,151,44,5,60.0,40.0,1682,4398,20,3,9,5,2063,6,15,12,0,1,108,110,45,71.0
Vitaliy Mykolenko,UKR,Everton,DF,25.92,31,31,2722,0,1,2,0,0.4,1.6,31,102,83,0.0,0.03,0.01,0.05,,,,,0.0,0.0,0.0,20.5,874,74.3,14736,88.8,74.1,45.2,20,96,37,22,37.0,1.22,3.0,0.1,54,32,50,25,24,9,15,36,1489,112,471,641,388,26,20,40.0,45.0,608,1416,26,1,20,10,753,83,20,28,3,86,77,44,36,55.0
Vitaly Janelt,GER,Brentford,MF,26.97,32,27,2254,1,3,3,0,0.8,2.2,17,80,38,0.04,0.12,0.03,0.09,,,,,28.6,0.16,0.07,17.7,872,82.5,14466,90.6,85.4,55.9,14,78,23,7,32.0,1.28,3.0,0.12,38,22,36,15,33,9,24,27,1289,118,418,574,306,32,12,25.0,58.3,652,1278,18,3,16,10,814,38,24,15,1,30,107,19,11,63.3
Wes Burns,WAL,Ipswich Town,"FW,DF",30.43,18,12,926,0,1,1,0,0.5,1.6,38,8,65,0.0,0.1,0.05,0.16,,,,,14.3,0.1,0.0,18.3,153,60.5,2416,80.4,65.4,38.9,10,8,8,7,16.0,1.55,1.0,0.1,13,11,10,6,7,2,5,10,350,21,69,129,160,18,24,37.5,58.3,216,696,13,10,17,13,220,65,4,11,0,46,50,8,21,27.6
Wesley Fofana,FRA,Chelsea,DF,24.37,14,14,1172,0,0,7,0,0.4,0.4,19,32,4,0.0,0.0,0.03,0.03,,,,,0.0,0.0,0.0,10.6,724,90.2,12262,93.9,92.5,61.9,6,54,1,0,15.0,1.15,0.0,0.0,13,12,14,8,14,9,5,14,933,81,370,523,55,10,15,53.3,20.0,557,1614,12,1,16,5,665,4,24,16,0,1,54,27,12,69.2
Wilfred Ndidi,NGA,Leicester City,MF,28.37,25,25,2057,0,4,8,0,1.8,1.8,16,64,74,0.0,0.18,0.08,0.08,,,,,40.0,0.35,0.0,14.5,717,79.3,10136,86.6,80.7,51.6,15,61,10,3,26.0,1.14,3.0,0.13,77,46,51,26,45,19,26,24,1226,112,410,588,238,58,32,40.6,53.1,585,971,22,2,34,33,720,74,38,17,3,30,114,53,51,51.0
